,关键词,作者,正文,时间,内容源
359,生活垃圾,福建日报,2分钟闽式新闻早点（11月23日）：【福建出台防控导则严把进口冷链食品关】【省纪委监委出台保障民法典贯彻落实实施意见】【主动报备，不要前往！福建多地疾控中心再发通告】【全国率先！福州今年底将实现生活垃圾“零填埋”】O2分钟闽式新闻早点（11月23日）,2020-11-23,微博
360,生活垃圾,福州日报,#福州早报#福州早报，带你速览这些新鲜事！【今日关注】▼全国率先！福州今年底将实现生活垃圾“零填埋”【福州头条】▼大学城十里创客水街怎么建设两岸学子来献策▼火车站北广场直通三环地下通道今日开放！▼城区10个路口将增设斑马线闯红灯曝光屏▼“旅游+”全力引航福州乡村游受热捧▼省最美家庭林泓颜巧峰的献血情缘：夫妻同获全国无偿献血奉献奖O网页链接,2020-11-23,微博
361,生活垃圾,福建发布,#福建早知道#｜11月23日▶福建出台防控导则严把#进口冷链食品#关▶福建#失业补助金#可上闽政通申领▶福州2020年底将在全国率先实现#生活垃圾#“零填埋”▶“一县一周·特产惠农”莆田专场在福州启动▶第二届厦门#电影#论坛举办将展映闽籍导演佳作▶泉州多措并举促#农产品#消费助力经济“双循环”▶泉州#晋江#在福建首创共享用户“黑名单”机制▶漳州市#退役军人#服务中心升级完毕O福建早知道｜11月23日,2020-11-23,微博
362,生活垃圾,福州建设发展,【全国率先！福州今年底将实现生活垃圾“零填埋”】目前位于福州北峰的红庙岭循环经济生态产业园已基本建成。今年底，福州将在全国省会城市中率先实现生活垃圾“零填埋”的预定目标。垃圾围城，是世界各大城市遇到的普遍难题。近30年前，福州市就高瞻远瞩，谋划破解这一难题。,2020-11-23,微博
363,生活垃圾,福州晚报,#文明福州#【福州实施生活垃圾分类三年行动计划】《福州市县（市）区生活垃圾分类三年行动计划与实施方案（试行）》日前印发实施。3年内福州各县（市）区基本建立分类投放、分类收集、分类运输、分类处理的垃圾处理体系，实现生活垃圾有序分类、规范收运、无害处置、资源利用。(福州晚报）O各县（市）区建成区　年底全面开展生活垃圾分类,2020-11-18,微博
364,生活垃圾,福州发布,#文明福州##福州城建#【福州市县（市）区生活垃圾分类三年行动计划出台】《福州市县（市）区生活垃圾分类三年行动计划与实施方案（试行）》日前出台，按照方案，三年时间内福州各县（市）区基本建立分类投放、分类收集、分类运输、分类处理的垃圾处理体系，实现生活垃圾有序分类、规范收运、无害处置、资源利用。O福州市县（市）区生活垃圾分类三年行动计划出台,2020-11-18,微博
365,生活垃圾,福州新闻网fznews,福州新闻【福州市县（市）区生活垃圾分类三年行动计划出台】#福州全力推行垃圾分类#注意啦！《福州市县（市）区生活垃圾分类三年行动计划与实施方案（试行）》日前出台，按照方案，三年时间内福州各县（市）区基本建立分类投放、分类收集、分类运输、分类处理的垃圾处理体系，实现生活垃圾有序分类、规范收运、无害处置、资源利用。O福州市县（市）区生活垃圾分类三年行动计划出台,2020-11-17,微博
366,生活垃圾,福州发布,#榕城身边事##漫步福州#【高新区首个垃圾分类屋正式投用】日前，福州高新区首个垃圾分类屋在中海寰宇天下小区正式投用，今年底全区有望全面开展垃圾分类。“高新区将通过试点小区——中海寰宇天下的垃圾分类，积累经验，形成可复制、可推广的做法。”福州高新区综合执法局相关负责人表示，将根据福州市和高新区垃圾分类相关实施方案，结合五城区先进经验，争取今年底全面铺开全区垃圾分类工作。O高新区首个垃圾分类屋正式投用,2020-11-15,微博
367,生活垃圾,福州生态环境,【在长江源捡垃圾的志愿者：游客“带走一袋垃圾”可以免费喝咖啡】11月13日，“大江大河大征途”长江行考察团来到长江源水生态环境保护站，站长土旦旦巴和来自全国各地的志愿者九年如一日在长江源区域清理垃圾。志愿者说：长江源平均海拔近5000米，生态环境极为脆弱，也没有垃圾处理能力，如果你路过保护站，可以响应“带走一袋垃圾”，送到400公里外的格尔木，有专人接收。你会获得一张卡通贴纸，并在保护站的咖啡屋享受一杯来自社会捐赠的现磨咖啡。L长江日报的微博视频,2020-11-15,微博
368,生活垃圾,福州建设发展,3年不到，红庙岭基本建成全国固废处理工艺先进、处置体系完善、生态效益良好的红庙岭循环经济生态产业园，每天能“吞进”福州市中心城区4200吨原生生活垃圾，产出133.6万度可上网电量、25.5吨生物柴油、33万块环保透水砖、50吨园林绿化用基肥。2020年底前，福州市将力争在全国省会城市中率先实现生活垃圾“零填埋”目标。,2020-11-14,微博
369,生活垃圾,福州发布,#漫步福州##致敬榕城#【连“渣”都是宝！福州每天4200吨生活垃圾这样“变身”】昔日垃圾山，今日生态园。置身福州市中心17公里外的红庙岭上，看不到垃圾，满眼尽是绿色，空气清新怡人。3年不到，红庙岭基本建成全国固废处理工艺先进、处置体系完善、生态效益良好的红庙岭循环经济生态产业园，每天能“吞进”福州市中心城区4200吨原生生活垃圾，产出133.6万度可上网电量、25.5吨生物柴油、33万块环保透水砖、50吨园林绿化用基肥。2020年底前，福州市将力争在全国省会城市中率先实现生活垃圾“零填埋”目标。O连“渣”都是宝！福州每天4200吨生活垃圾这样“变身”,2020-11-14,微博
370,生活垃圾,福州生态环境,#福州绿色生活##寻找福州美#【连“渣”都是宝！福州每天4200吨生活垃圾这样“变身”】昔日垃圾山，今日生态园。置身福州市中心17公里外的红庙岭上，看不到垃圾，满眼尽是绿色，空气清新怡人。3年不到，红庙岭基本建成全国固废处理工艺先进、处置体系完善、生态效益良好的红庙岭循环经济生态产业园，每天能“吞进”福州市中心城区4200吨原生生活垃圾，产出133.6万度可上网电量、25.5吨生物柴油、33万块环保透水砖、50吨园林绿化用基肥。2020年底前，福州市将力争在全国省会城市中率先实现生活垃圾“零填埋”目标。O连“渣”都是宝！福州每天4200吨生活垃圾这样“变身”,2020-11-13,微博
371,生活垃圾,福州生态环境,【垃圾换坚果#瑞典科学家训练喜鹊收垃圾#】近日，瑞典一名科学家教会喜鹊“收集”垃圾，他制造了一台“智能”喂食器。当喜鹊把金属零件放进喂食器，喂食器经过识别后，就会向喜鹊分发坚果。L央视网的微博视频,2020-11-11,微博
372,生活垃圾,20级福州理工学院建电1班,"活动内容：打扫1号教学楼的空教室。活动说明:这次活动清扫了，1号楼的空教室,将空教室的黑板擦干净，黑板槽也做了清理，还打扫了教室的地板、抽屉和倒垃圾，大家认真地为学校尽了自己的一份力。我们此次的爱校服务是为了让教室更加的干净，校园是我家，爱护靠大家，希望我们的校园越来越美丽。地点：1号教学楼时间:2020.11.1016:00-17:00#福州理工学院#@FIT建筑学院@FIT建筑学院青协@福州理工学院",2020-11-11,微博
373,生活垃圾,福建生态环境,【环保设施向公众开放|分好类的垃圾去哪儿？福州垃圾分类志愿者搞明白啦！】O分好类的垃圾去哪儿？福州垃圾分类志愿者搞明白啦！,2020-11-11,微博
374,生活垃圾,福建今日热点,#福州多小区火灾隐患被曝光#【岳峰新城消防通道，竟被物业垃圾桶占用】电线私拉乱接、消防通道被占用等一系列问题，都是小区内常见的火灾隐患。记者来到位于晋安区的岳峰新城小区，小区内虽然四处都张贴着消防通道禁止停放机动车辆的标语，但小区内消防通道被占的情况还是普遍存在的。随后记者也找到了岳峰镇政府负责安全监管的应急办，反映此情况。不止是岳峰新城，对于辖区内电动车上楼堵塞安全通道的问题，该名应急办的工作人员也表示近期将督促物业采取一系列措施，例如张贴告示，在电梯里安装三角架等。Via@第一帮帮团#福州爆料##福州#L福建今日热点的微博视频,2020-11-11,微博
375,生活垃圾,福州理工学院20级电子商务,活动内容：打扫教室周边卫生，保持整洁活动说明：每次上完课，随手带走垃圾是我们应该做的，爱护学校也是每个学生的责任！我们打扫卫生也只是略进绵薄之力！参与人员：李玟慧，阮梅芳，余晓烜，郑杰，张小宇，王莲华，卢玉兰地点：4-103时间：2020.11.11@福州理工学院商学院团委学生会@一个辅导员的日常@福州理工学院,2020-11-11,微博
376,生活垃圾,福州晚报,#福州人物#【王荣：我虽矮小，照样能帮助别人】天6点不到，垃圾分类管理员王荣就开始忙碌起来。近日，记者见到了王荣，她身高127厘米，分拣垃圾麻利又仔细，收拾得特别干净。王荣的工作地点是晋安区鼓山廉租房小区垃圾分类屋。都市社区主任王满连告诉记者，鼓山廉租房小区125户居民中，残疾人占了三分之二，其余都是老弱幼人群。社区人手有限，王荣无偿来帮忙，不论大事小事都很热心。一起来了解王荣的故事！（福州晚报）O王荣：我虽矮小，照样能帮助别人,2020-11-11,微博
377,生活垃圾,福州日报,#福州十大魅力乡村#【“双十一”启动！“福州十大魅力乡村”评选来啦！】#比比谁的家乡美#近年来，福州持续深入实施乡村振兴战略，农村人居环境明显提升，农村无害化厕所普及率达99.32%，农村垃圾治理率达100%，农村生活污水治理管控率达91.42%……福州的村庄还有哪些变化？我们邀请您一起来感受！评选活动11月11日正式开始！具体请看→O“双十一”启动！“福州十大魅力乡村”评选来啦！,2020-11-11,微博
378,生活垃圾,福州新闻网fznews,#福州十大魅力乡村#【“双十一”启动！“福州十大魅力乡村”评选火热投票中】#比比谁的家乡美#近年来，福州持续深入实施乡村振兴战略，农村人居环境明显提升，农村无害化厕所普及率达99.32%，农村垃圾治理率达100%，农村生活污水治理管控率达91.42%……福州的村庄还有哪些变化？我们邀请您一起来感受！O“双十一”启动！“福州十大魅力乡村”评选来啦！,2020-11-11,微博
379,生活垃圾,看福州,【#福州#岳峰新城消防通道，竟被物业垃圾桶占用】电线私拉乱接、消防通道被占用等一系列问题，都是小区内常见的火灾隐患。记者来到位于晋安区的岳峰新城小区，小区内虽然四处都张贴着消防通道禁止停放机动车辆的标语，但小区内消防通道被占的情况还是普遍存在的。随后记者也找到了岳峰镇政府负责安全监管的应急办，反映此情况。不止是岳峰新城，对于辖区内电动车上楼堵塞安全通道的问题，该名应急办的工作人员也表示近期将督促物业采取一系列措施，例如张贴告示，在电梯里安装三角架等。Via@第一帮帮团L第一帮帮团的微博视频,2020-11-11,微博
380,生活垃圾,福州头条,【#福州#岳峰新城消防通道，竟被物业垃圾桶占用】电线私拉乱接、消防通道被占用等一系列问题，都是小区内常见的火灾隐患。记者来到位于晋安区的岳峰新城小区，小区内虽然四处都张贴着消防通道禁止停放机动车辆的标语，但小区内消防通道被占的情况还是普遍存在的。随后记者也找到了岳峰镇政府负责安全监管的应急办，反映此情况。不止是岳峰新城，对于辖区内电动车上楼堵塞安全通道的问题，该名应急办的工作人员也表示近期将督促物业采取一系列措施，例如张贴告示，在电梯里安装三角架等。Via@第一帮帮团L第一帮帮团的微博视频,2020-11-11,微博
381,生活垃圾,福州理工学院20级投资学一班,【爱校活动】活动时间：2020年11月10日活动地点：A6宿舍楼周边20级投资学1班爱校活动2020/11/10上午开展爱校活动在六号宿舍楼周边清理了垃圾宿舍楼周边垃圾较少，有少量烟头和纸屑，宿舍楼后面的小道上有矿泉水瓶和垃圾，一些同学打扫垃圾，另外一些同学俯身捡拾垃圾，再一并把垃圾倒进垃圾桶中。希望我们每人都能够爱护校园环境，构建美好校园@福州理工学院@一个辅导员的日常@福州理工学院商学院团委学生会,2020-11-10,微博
382,生活垃圾,福州理工学院20级电子商务,活动内容：打扫教室周边卫生，保持整洁活动说明：每次上完课，随手带走垃圾是我们应该做的，爱护学校也是每个学生的责任！我们打扫卫生也只是略进绵薄之力！参与人员：李玟慧，阮梅芳，余晓烜，郑杰，张小宇，王莲华，卢玉兰地点：4-103时间：2020.11.9@福州理工学院商学院团委学生会@一个辅导员的日常@福州理工学院,2020-11-09,微博
383,生活垃圾,福州微博房产,【46栋楼的垃圾全在家旁边处理！#福州#这个小区的居民太闹心！】在保利香槟国际小区北门附近，与住宅楼一道栏杆之隔的停车场上，堆放着十来个已经倒空的垃圾桶，这里就是小区的垃圾转运点。距离这个垃圾转运点不到二三十米的地方，就是9.10号楼。保利香槟国际小区共46栋楼，自从物业将整个小区的垃圾都集中在此处进行转运，每天早、晚九点，9.10号楼的业主们都要忍受近两小时垃圾倾倒、压缩的噪音。业主们表示，按小区的规划图纸，垃圾转运点的这片地块属于小区公共区域，原本是作为小区的地面停车场，产权归全体业主所有。但一年多前，物业没征求业主们的同意，便擅自将该地当成垃圾转运点。他们也反复向物业提出，希望能另寻他处集中收运垃圾，或者再增设几个转运点，但并没有得到解决。福州身边事（新闻110）,2020-11-08,微博
384,生活垃圾,福州金山小学,金秋之旅环保之行------福州金山小学二年级“垃圾分类2.0绿色家园我践行”秋游研学活动,2020-11-06,微博
385,生活垃圾,福建发布,#福建早知道#|11月6日▶福建高院举行诉非联动中心启动仪式▶福州海上丝绸之路史迹保护研究中心揭牌▶福建最大#小学实训基地#在福州亮相▶福州#垃圾分类#工作全国排名进入第一档▶#厦门#自贸片区集群注册可全程网办▶泉州2020年前三季度#房地产开发投资#超700亿元▶#台风艾莎尼#持续增强，致福建沿海掀起巨浪O福建早知道|11月6日,2020-11-06,微博
386,生活垃圾,福建省环保志愿者协会,福州将建立健全塑料制品管理制度！O动态|定了！年底前，福州市区禁止使用！，@福建垃圾分类@青年触享,2020-11-04,微博
387,生活垃圾,福州同城,【#福州#定了！年底前福州市区禁止使用塑料制品！】《福州市关于进一步加强塑料污染治理实施方案》出炉，到2020年底，福州率先在五城区部分领域禁止、限制部分塑料制品的销售和使用，五城区塑料生活垃圾实现“零填埋”。福州将建立健全，塑料制品管理制度，有序禁限部分塑料制品的生产、销售和使用。(福州晚报),2020-11-03,微博
388,生活垃圾,福州头条,【#福州#定了！年底前福州市区禁止使用塑料制品！】《福州市关于进一步加强塑料污染治理实施方案》出炉，到2020年底，福州率先在五城区部分领域禁止、限制部分塑料制品的销售和使用，五城区塑料生活垃圾实现“零填埋”。福州将建立健全，塑料制品管理制度，有序禁限部分塑料制品的生产、销售和使用。(福州晚报),2020-11-03,微博
389,生活垃圾,福州生活圈,【#福州#定了！年底前福州市区禁止使用塑料制品！】《福州市关于进一步加强塑料污染治理实施方案》出炉，到2020年底，福州率先在五城区部分领域禁止、限制部分塑料制品的销售和使用，五城区塑料生活垃圾实现“零填埋”。福州将建立健全，塑料制品管理制度，有序禁限部分塑料制品的生产、销售和使用。(福州晚报),2020-11-03,微博
390,生活垃圾,新浪福建,【福州升级版“限塑令”来了五年内实现有效控制塑料污染】到2020年底，率先在五城区部分领域禁止、限制部分塑料制品的销售和使用，五城区塑料生活垃圾实现“零填埋”。五城区的商场、超市、药店、书店等场所以及餐饮打包外卖服务和各类展会活动，禁止使用不可降解塑料袋，集贸市场规范和限制使用不可降解塑料袋。（福州建设发展）,2020-11-02,微博
391,生活垃圾,福州建设发展,【福州升级版“限塑令”来了五年内实现有效控制塑料污染】到2020年底，率先在五城区部分领域禁止、限制部分塑料制品的销售和使用，五城区塑料生活垃圾实现“零填埋”。五城区的商场、超市、药店、书店等场所以及餐饮打包外卖服务和各类展会活动，禁止使用不可降解塑料袋，集贸市场规范和限制使用不可降解塑料袋。,2020-11-02,微博
392,生活垃圾,福州生态环境,【一个星球，共同命运】我们随手丢弃的塑料垃圾，都去了哪里？会对地球造成怎样的伤害？@白敬亭白敬亭献声公益短片《我们需要地球》系列减塑篇，讲述塑料污染、温室气体与气候危机的故事。via绿色和平L福州生态环境的微博视频,2020-10-31,微博
393,生活垃圾,福州理工学院19级投资学,▪️20201029爱校服务▪️时间：15:40-16:40▪️地点：1-102清扫过程中，同学们分工很明确。认真清理残留下来的垃圾。同学们相互配合，相互协助，积极参与到此次的清洁活动中。在大家的努力下，教室的面貌焕然一新。@福州理工学院商学院团委学生会@福州理工学院@一个辅导员的日常,2020-10-31,微博
394,生活垃圾,福州生态环境,#福州环保在行动#吸烟产生的烟蒂是不可降解的垃圾不仅会腐蚀周围的土地，大大降低土地保水、保肥的能力，还将恶化水质，给水资源的利用造成不便。因烟蒂作为不可降解垃圾这一点就罪不可恕。吸烟污染环境问题正是其中不可或缺的一环。随着烟草的种植和加工，将有更多的土壤板结，会砍伐更多的树木，这将造成严重的水土流失。吸烟会导致室内空气质量极度下降，一支烟可以在5分钟内让空气质量下降10倍，3支烟导致的污染浓度达到或超过火灾现场的烟雾情况，而加大与吸烟者的距离并不能避免二手烟的危害。🚭远离烟草🚭拒绝电子烟🚭拒绝二手烟中国控烟倡导者吴磊刘雯张子枫关晓彤吴牧野王嘉倡导健康生活方式。他们的呼声，等待你的回应。L联合国教科文组织的微博视频,2020-10-31,微博
395,生活垃圾,福州发布,#榕城分享#【青山不负人！100秒听懂这份绿色成绩单】#回望十三五#和五年前相比，全国生态环境质量总体改善，污染防治阶段性目标顺利实现。数据显示，2019年，中国46个重点城市中，生活垃圾分类的小区超过八成，绿色环保的生活方式逐渐成为全民行动。（央视网快看）L央视网快看的微博视频,2020-10-30,微博
396,生活垃圾,台江新闻网,#台江新闻#【台江全力推进公共场所垃圾分类509家公共机构已建分类台账】按照市委市政府“打造2.0版垃圾分类福州模式”决策部署，台江区全力推动垃圾分类向公共场所延伸，开展农贸市场、大型综合体、写字楼、医疗单位、学校等不同系统生活垃圾分类工作。[via@福州晚报]O网页链接,2020-10-29,微博
397,生活垃圾,福州生态环境,少儿早教公益动画：保护环境，不乱丢垃圾L还嫌地球不够乱的微博视频,2020-10-28,微博
398,生活垃圾,福州生态环境,【“舌尖上的塑料”】我们丢弃到大自然的垃圾，会以这种方式“回馈”给我们。请爱护我们的地球，保护我们的环境彭楚粤以配音方式参与的这个创意片，用荒诞反讽的方式警醒人们，如果还是毫无克制地使用一次性塑料，未来可能会被塑料包围。#拒绝塑料星球#，我们应该做到更好。LX玖少年团-彭楚粤的微博视频,2020-10-28,微博
399,生活垃圾,福州生态环境,#寻找福州美##福州生态美#【光明港：截污清淤颜值提升】曾经的光明港被诟病不少垃圾漂浮、河水腐臭、岸边堆弃市民都是捂住口鼻，匆匆经过但随着福州市水系综合治理的推进光明港展露新颜，成为市民闲散的好去处光明港一支河、光明港二支河从黑臭河沟升级成了水清、岸绿、景美河道实现了河水变清、两岸变绿的美好景象（via影像福州）,2020-10-27,微博
400,生活垃圾,福州房天下,【福州台江推进公共场所垃圾分类】按照市委市政府“打造2.0版垃圾分类福州模式”决策部署，台江区全力推动垃圾分类向公共场所延伸，开展农贸市场、大型综合体、写字楼、医疗单位、学校等不同系统生活垃圾分类工作。日前，记者跟随台江区城管局、台江区环卫处有关负责人，前往辖区公共场所查看垃圾分类情况。（via：福州日报）,2020-10-26,微博
401,生活垃圾,福州同城,【#福州#垃圾分类市级管理平台年底建成】目前，福州市正打造2.0版垃圾分类福州模式。记者从市城管委获悉，鼓楼区、仓山区已建成垃圾分类智慧管理平台，市级管理平台正在推进建设，预计年底建成。州市作为全国46个生活垃圾分类试点城市之一，2019年5月起全面推行生活垃圾分类工作，由点及面迅速推开，首创的“三端四定”垃圾分类新模式被住建部充分肯定。福州城区垃圾分类覆盖率达95%（小区达100%），分类准确率70%以上，无害化处理率100%，可回收利用率35%以上，福州垃圾分类工作在住建部46个重点城市考评中进入前十。目前鼓楼区、仓山区已建成分类智慧管理平台，市级管理平台正在推进建设，预计年底建成。此外，城区垃圾分类向县（市）延伸，各县（市）区已制定或印发垃圾分类实施方案。,2020-10-24,微博
402,生活垃圾,福州发布,#福州城建##致敬榕城#【福州垃圾分类市级管理平台年底建成】目前，福州市正打造2.0版垃圾分类福州模式。记者从市城管委获悉，鼓楼区、仓山区已建成垃圾分类智慧管理平台，市级管理平台正在推进建设，预计年底建成。州市作为全国46个生活垃圾分类试点城市之一，2019年5月起全面推行生活垃圾分类工作，由点及面迅速推开，首创的“三端四定”垃圾分类新模式被住建部充分肯定。福州城区垃圾分类覆盖率达95%（小区达100%），分类准确率70%以上，无害化处理率100%，可回收利用率35%以上，福州垃圾分类工作在住建部46个重点城市考评中进入前十。目前鼓楼区、仓山区已建成分类智慧管理平台，市级管理平台正在推进建设，预计年底建成。此外，城区垃圾分类向县（市）延伸，各县（市）区已制定或印发垃圾分类实施方案。O福州垃圾分类市级管理平台年底建成,2020-10-24,微博
403,生活垃圾,福州建设发展,【福州垃圾分类市级管理平台年底建成】福州市作为全国46个生活垃圾分类试点城市之一，2019年5月起全面推行生活垃圾分类工作，由点及面迅速推开，首创的“三端四定”垃圾分类新模式被住建部充分肯定。福州城区垃圾分类覆盖率达95%（小区达100%），分类准确率70%以上，无害化处理率100%，可回收利用率35%以上，福州垃圾分类工作在住建部46个重点城市考评中进入前十。,2020-10-24,微博
404,生活垃圾,福州前哨站,【福州垃圾分类水平跻身全国前十】福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。五城区比学赶超，生活垃圾分类工作亮点频出：鼓楼区建设分类智能监管平台；台江区强化分类执法；仓山区率先探索垃圾分类数字化监管机制；晋安区首个推行沿街店铺分类收运；马尾区首个推出“公交站牌式”收运模式。（来源：福州新闻网）,2020-10-23,微博
405,生活垃圾,福建今日热点,【厉害了！#福州#垃圾分类水平全国前十】#福州垃圾分类水平全国前十#福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。,2020-10-23,微博
406,生活垃圾,福州生活圈,【#福州#厉害了！福州垃圾分类水平全国前十】好消息！福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。(福州日报),2020-10-22,微博
407,生活垃圾,福州发布,#文明福州##福州城建#【福州垃圾分类水平跻身全国前十】福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。接下来，福州市将大力推进垃圾分类智慧管理，试点利用“e福州”APP平台实施居民分类积分奖励；在分类示范小区等试点设立智能垃圾箱，推行误时垃圾付费投放。O福州垃圾分类水平跻身全国前十,2020-10-22,微博
408,生活垃圾,福州气象,【厉害了！#福州#垃圾分类水平全国前十】#福州垃圾分类水平全国前十#福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。,2020-10-22,微博
409,生活垃圾,福州同城会,#福州美好生活#【厉害了！#福州#垃圾分类水平全国前十】#福州垃圾分类水平全国前十#福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。,2020-10-22,微博
410,生活垃圾,福建新闻中心,【厉害了！#福州#垃圾分类水平全国前十】#福州垃圾分类水平全国前十#福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。,2020-10-22,微博
411,生活垃圾,新浪福建教育频道,【厉害了！#福州#垃圾分类水平全国前十】#福州垃圾分类水平全国前十#福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。,2020-10-22,微博
412,生活垃圾,福州晚报,【福州垃圾分类水平跻身全国前十】记者昨日从市城管委获悉，我市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。O福州垃圾分类水平跻身全国前十,2020-10-22,微博
413,生活垃圾,福州电视台移动频道,【厉害了！福州垃圾分类水平全国前十】好消息！福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。（Via@福州日报）O福州垃圾分类水平跻身全国前十,2020-10-22,微博
414,生活垃圾,新浪福建,【厉害了！#福州#垃圾分类水平全国前十】#福州垃圾分类水平全国前十#福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。,2020-10-22,微博
415,生活垃圾,福州头条,【厉害了！#福州#垃圾分类水平全国前十】#福州垃圾分类水平全国前十#福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。,2020-10-22,微博
416,生活垃圾,福州同城,【厉害了！#福州#垃圾分类水平全国前十】好消息！福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。#福州美好生活#,2020-10-22,微博
417,生活垃圾,福州日报,福州新闻【厉害了！福州垃圾分类水平全国前十】#福州全力推行垃圾分类#好消息！福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。O福州垃圾分类水平跻身全国前十,2020-10-22,微博
418,生活垃圾,福州新闻网fznews,福州新闻【厉害了！福州垃圾分类水平全国前十】#福州全力推行垃圾分类#福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。福州城区推行“三端四定”工作一年多来，小区和公共机构垃圾分类覆盖率达100%，居民分类准确率达70%以上，无害化处理率为100%，可回收利用率达35%以上。O福州垃圾分类水平跻身全国前十,2020-10-22,微博
419,生活垃圾,福州建设发展,【福州垃圾分类水平跻身全国前十】福州市生活垃圾分类工作在住建部46个垃圾分类重点城市今年上半年情况通报中，进入全国第一档（前十）水平。五城区比学赶超，生活垃圾分类工作亮点频出：鼓楼区建设分类智能监管平台；台江区强化分类执法；仓山区率先探索垃圾分类数字化监管机制；晋安区首个推行沿街店铺分类收运；马尾区首个推出“公交站牌式”收运模式。,2020-10-22,微博
420,生活垃圾,福建台直播福建,#福州身边事#【一追到底：小区垃圾分类屋近在咫尺仍有业主随手丢】#福州#福湾新城春风苑小区总是随处可见垃圾，这背后原因为哪般？除了业主自身规范不足，垃圾分类屋管理不到位也是一大原因。L福建台直播福建的微博视频,2020-10-20,微博
